comapany,skills,more_info
inflexi technologies pvt ltd,"algorithms, python, css, natural, language, processing, problem, solving, team, player, machine, learning, ajax, javascript, jquery, database, postgresql, xml, message, queue, debugging, data, structures, mysql, html, api",https://www.timesjobs.com/job-detail/python-associates-inflexi-technologies-pvt-ltd-australia-0-to-2-yrs-jobid-7x72zFyW4apzpSvf__PLUS__uAgZw==&source=srp
kelly outsourcing,"python, programming, stremlit, development, llm, generative, ai, deep, learning, algorithms, c, java, debugging, software, engineering, hadoop, big, data, natural, language, processing, machine, learning",https://www.timesjobs.com/job-detail/python-developer-kelly-outsourcing-hyderabad-secunderabad-1-to-3-yrs-jobid-IhpeGm8OTjdzpSvf__PLUS__uAgZw==&source=srp
highrise solutions llp,"python, development, django, framework, aws, services, restful, apis, ci, /, cd, html5, jquery, docker, sql, git, postgresql, senior, software, developer, access, management, javascript, gateway",https://www.timesjobs.com/job-detail/python-developer-highrise-solutions-llp-pune-3-to-6-yrs-jobid-AMvaikmMr01zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"python, programming, web, frameworks, (, django, /, flask, ), relational, databases, version, control, (, git, ), front, end, technologies, css, software, engineering, html, oracle, javascript, security, debugging, technical, skills, cloud, computing, problem, solving",https://www.timesjobs.com/job-detail/python-developer-oracle-hyderabad-secunderabad-3-to-5-yrs-jobid-aDB3Rtd2ymRzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"python, programming, web, frameworks, (, django, /, flask, ), relational, databases, version, control, (, git, ), front, end, technologies, css, software, engineering, html, oracle, javascript, security, debugging, technical, skills, cloud, computing, problem, solving",https://www.timesjobs.com/job-detail/python-developer-oracle-hyderabad-secunderabad-3-to-5-yrs-jobid-h8KgubSTGZxzpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,"ux, ux, designer, photoshop, designing, illustrator",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-cochin-kochi-ernakulam-0-to-3-yrs-jobid-SRuFh50gmaxzpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,"application, developer, sql, software, engineering, software, development, mobile, mentoring, relational, database, client, communication, application, development, saas",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-cochin-kochi-ernakulam-7-to-10-yrs-jobid-6hPcvjbAp__PLUS__dzpSvf__PLUS__uAgZw==&source=srp
beechi vidya kendra,"big, data, /, python, aws, backend, web, development, flask, /, django, /, fastapi, ci, /, cd, practices, technology, consulting",https://www.timesjobs.com/job-detail/python-developer-beechi-vidya-kendra-hyderabad-secunderabad-5-to-10-yrs-jobid-lMcWGSgk1WBzpSvf__PLUS__uAgZw==&source=srp
Sparks To Ideas,"N, Core, Python, Pandas, Numpy, Paycharm, SQL, Machine, Learning, Data, Data, Structure",https://www.timesjobs.com/job-detail/python-internship-sparks-to-ideas-ahmedabad-bhavnagar-gandhinagar-junagarh-rajkot-0-to-1-yrs-jobid-LLIcoq32tvpzpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,"Node, js, Mongodb, Django, Python, Numpy, AWS, Api, Engineer, system, administrator",https://www.timesjobs.com/job-detail/python-developer-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-4-to-9-yrs-jobid-4aumk__PLUS__VMTKNzpSvf__PLUS__uAgZw==&source=srp
